,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last_Updated,Current_Ver,Android_Ver,Pri_Genres,Sec_Genres,Installs_qcut,newlastupdate,lastupdated
0,6962,ART_AND_DESIGN,4.1,159,19000000.0,10000.0,0,0.0,1,Art & Design,2018-01-07,1.0.0,4.0.3 and up,3,Art & Design,0,2018-01-07,-213
1,2632,ART_AND_DESIGN,3.9,967,14000000.0,500000.0,0,0.0,1,Art & Design;Pretend Play,2018-01-15,2.0.0,4.0.3 and up,3,Pretend Play,1,2018-01-15,-205
2,8656,ART_AND_DESIGN,4.7,87510,8700000.0,5000000.0,0,0.0,1,Art & Design,2018-08-01,1.2.4,4.0.3 and up,3,Art & Design,2,2018-08-01,-7
3,7827,ART_AND_DESIGN,4.5,215644,25000000.0,50000000.0,0,0.0,4,Art & Design,2018-06-08,Varies with device,4.2 and up,3,Art & Design,3,2018-06-08,-61
4,7022,ART_AND_DESIGN,4.3,967,2800000.0,100000.0,0,0.0,1,Art & Design;Creativity,2018-06-20,1.1,4.4 and up,3,Creativity,1,2018-06-20,-49
5,6878,ART_AND_DESIGN,4.4,167,5600000.0,50000.0,0,0.0,1,Art & Design,2017-03-26,1.0,2.3 and up,3,Art & Design,1,2017-03-26,-500
6,7880,ART_AND_DESIGN,3.8,178,19000000.0,50000.0,0,0.0,1,Art & Design,2018-04-26,1.1,4.0.3 and up,3,Art & Design,1,2018-04-26,-104
7,5378,ART_AND_DESIGN,4.1,36815,29000000.0,1000000.0,0,0.0,1,Art & Design,2018-06-14,6.1.61.1,4.2 and up,3,Art & Design,1,2018-06-14,-55
8,4804,ART_AND_DESIGN,4.4,13791,33000000.0,1000000.0,0,0.0,1,Art & Design,2017-09-20,2.9.2,3.0 and up,3,Art & Design,1,2017-09-20,-322
9,5591,ART_AND_DESIGN,4.7,121,3100000.0,10000.0,0,0.0,1,Art & Design;Creativity,2018-07-03,2.8,4.0.3 and up,3,Creativity,0,2018-07-03,-36
10,8332,ART_AND_DESIGN,4.4,13880,28000000.0,1000000.0,0,0.0,1,Art & Design,2017-10-27,1.0.4,4.1 and up,3,Art & Design,1,2017-10-27,-285
11,6523,ART_AND_DESIGN,4.4,8788,12000000.0,1000000.0,0,0.0,1,Art & Design,2018-07-31,1.0.15,4.0 and up,3,Art & Design,1,2018-07-31,-8
12,8276,ART_AND_DESIGN,4.2,44829,20000000.0,10000000.0,0,0.0,4,Art & Design,2018-04-02,3.8,4.1 and up,3,Art & Design,3,2018-04-02,-128
13,6025,ART_AND_DESIGN,4.6,4326,21000000.0,100000.0,0,0.0,1,Art & Design,2018-06-26,1.0.4,4.4 and up,3,Art & Design,1,2018-06-26,-43
14,60,ART_AND_DESIGN,4.4,1518,37000000.0,100000.0,0,0.0,1,Art & Design,2018-08-03,1.2.3,2.3 and up,3,Art & Design,1,2018-08-03,-5
15,5768,ART_AND_DESIGN,3.2,55,2700000.0,5000.0,0,0.0,1,Art & Design,2018-06-06,,4.2 and up,3,Art & Design,0,2018-06-06,-63
16,6960,ART_AND_DESIGN,4.7,3632,5500000.0,500000.0,0,0.0,1,Art & Design,2018-07-31,3.1,4.1 and up,3,Art & Design,1,2018-07-31,-8
17,54,ART_AND_DESIGN,4.5,27,17000000.0,10000.0,0,0.0,1,Art & Design,2017-11-07,1.0,2.3 and up,3,Art & Design,0,2017-11-07,-274
18,4523,ART_AND_DESIGN,4.3,194216,39000000.0,5000000.0,0,0.0,1,Art & Design,2018-08-03,2.2.5,4.0.3 and up,3,Art & Design,2,2018-08-03,-5
19,9504,ART_AND_DESIGN,4.6,224399,31000000.0,10000000.0,0,0.0,1,Art & Design,2018-07-30,5.5.4,4.1 and up,3,Art & Design,3,2018-07-30,-9
20,5872,ART_AND_DESIGN,4.0,450,14000000.0,100000.0,0,0.0,1,Art & Design,2018-04-20,4.0,4.1 and up,3,Art & Design,1,2018-04-20,-110
21,1748,ART_AND_DESIGN,4.1,654,12000000.0,100000.0,0,0.0,1,Art & Design,2018-03-20,1.1,4.0.3 and up,3,Art & Design,1,2018-03-20,-141
22,8131,ART_AND_DESIGN,4.7,7699,4200000.0,500000.0,0,0.0,2,Art & Design,2018-07-12,2.2.6.2,4.0.3 and up,3,Art & Design,1,2018-07-12,-27
23,6102,ART_AND_DESIGN,4.349230769230769,61,7000000.0,100000.0,0,0.0,1,Art & Design;Action & Adventure,2018-03-07,1.0.0,4.1 and up,3,Action & Adventure,1,2018-03-07,-154
24,5038,ART_AND_DESIGN,4.7,118,23000000.0,50000.0,0,0.0,1,Art & Design,2018-07-07,1.1.3,4.1 and up,3,Art & Design,1,2018-07-07,-32
25,5126,ART_AND_DESIGN,4.8,192,6000000.0,10000.0,0,0.0,1,Art & Design,2018-04-25,1.5,3.0 and up,3,Art & Design,0,2018-04-25,-105
